filename,PQI,PNI,Species_Predicted,Species_Confidence,COL1A1_Corrected,COL1A2_Corrected,COL1A1_to_COL1A2_Ratio,COL3A1_Peaks,Mean_PPM_Error,Std_PPM_Error,Mean_Confidence,Total_Ion_Count,Ratio_QC,Fetal_Markers,Age_Category,filename_match
EXB__IR3_I22.txt,0.0,0.0,Dipnotetrapodomorpha,0.38343893379943195,4300431.0,1939492.1,2.217297507940352,1984.0,2.788092792718779,2.3548237078325718,54.634291233846525,10121690.0,FAIL,1,Young,EXB__IR3_I22
EXB__IR3_I8.txt,,,Pecora,0.5442930153321976,4739940.0,1562988.7,3.0326130956672945,936.0,0.16983861186572005,0.799170141312863,71.22872115885198,4386935.0,FAIL,1,Young,EXB__IR3_I8
EXB__IR4_I16.txt,,,Bovidae,0.5714285714285714,1422.0,19351.8,0.0734815366012464,1.0,-2.014215095718242,2.952968873366276,33.741688806788666,16022.0,FAIL,0,Adult,EXB__IR4_I16
EXB__IR4_I23.txt,0.16930643946488913,,Dipnotetrapodomorpha,0.8825674690007294,19851.0,576379.7000000001,0.034440838218278674,2144.0,-1.3399365056503267,1.8350537926081347,64.70224158483724,2816017.0,FAIL,1,Young,EXB__IR4_I23
EXB__IR4_I9.txt,0.5,,Dipnotetrapodomorpha,0.5757575757575758,144753.0,18902.0,7.65807851021056,104.0,-0.19644456553136683,1.1775557515178643,67.69291085734508,969610.0,FAIL,1,Young,EXB__IR4_I9
EXB__IR5_M16.txt,1.0,,Bovidae,0.970873786407767,0.0,480738.7,0.0,3.0,-0.4010501553837773,0.5278810514976991,70.95828218998503,380341.0,FAIL,0,Adult,EXB__IR5_M16
EXB__IR5_M23.txt,,,Dipnotetrapodomorpha,0.4445752403374534,15300738.0,3144434.8000000003,4.865974005884937,3125.0,-0.45070578717562454,2.0659714720462565,65.44969358506934,21723520.0,FAIL,1,Young,EXB__IR5_M23
EXB__IR5_M9.txt,1.0,,Dipnotetrapodomorpha,0.5795744680851064,6667770.0,1523029.3,4.377965676694466,1247.0,0.1942593057500261,0.979705163011958,70.13113559411508,4598602.0,FAIL,1,Young,EXB__IR5_M9
J58_K21.txt,1.0,,Bovidae,0.5021423470602238,51999303.0,15021016.4,3.461769937219428,1104.0,0.030227071369529176,0.9694974383802484,70.61281273143808,31414357.0,FAIL,1,Young,J58_K21
J58_L17.txt,1.0,,Dipnotetrapodomorpha,0.3865150117839943,14834286.0,12493984.1,1.1873143011283327,2465.0,0.018423747698115073,0.9526744399991132,70.7176918731094,21725936.0,FAIL,1,Young,J58_L17
J58_L7.txt,1.0,,Bovidae,0.5294461322738958,12418842.0,10426990.6,1.1910284066046823,3586.0,-0.0455400138302975,0.8971118612760781,71.31063778103696,18792121.0,FAIL,1,Young,J58_L7
SENS__180_M14.txt,1.0,,Dipnotetrapodomorpha,0.43423507462686567,7482999.0,6129513.0,1.2208146063153793,2730.0,-0.022252036361700794,1.0441175703268297,70.16458075466146,13289688.0,FAIL,1,Young,SENS__180_M14
SENS__180_M21.txt,1.0,,Dipnotetrapodomorpha,0.5480700071925197,10943022.0,5688361.9,1.9237562926507892,4972.0,-0.16188032305450717,0.9600865346408695,70.4372612791663,17621554.0,PASS,1,Young,SENS__180_M21
SENS__180_M7.txt,1.0,,Bovidae,0.3964356929212363,14462532.0,8898002.1,1.6253684633317855,1289.0,0.029694628749779472,0.8920539858708907,71.11268773707667,14160241.0,FAIL,1,Young,SENS__180_M7
SENS__J119_M13.txt,,,Pecora,0.5812743823146944,791925.0,554910.2000000001,1.4271228029327987,443.0,-0.5165510955177433,1.5813047024240159,67.0041648977043,1685676.0,FAIL,1,Young,SENS__J119_M13
SENS__J119_M20.txt,,,Bovidae,0.4088892203288713,51855156.0,24130091.7,2.1489829647021192,12449.0,-0.14406529244812588,1.2554834967142432,69.93916679926669,67213904.0,PASS,1,Young,SENS__J119_M20
SENS__J119_M6.txt,,,Bovidae,0.4497767857142857,986586.0,12512.5,78.84803196803196,814.0,-1.138020226136258,2.352946410338583,64.72779565528927,2914931.0,FAIL,1,Young,SENS__J119_M6
SENS__J23_M10.txt,1.0,,Dipnotetrapodomorpha,0.46898425787106446,15413883.0,9271255.5,1.6625453801807102,5388.0,0.037764325882182585,0.9042879727914607,71.3073015031645,22864195.0,FAIL,1,Young,SENS__J23_M10
SENS__J23_M17.txt,1.0,,Dipnotetrapodomorpha,0.47830822290796876,16268406.0,6846966.100000001,2.376002124502997,5992.0,-0.03911480138757067,0.8990634504963858,71.19033268655537,22144781.0,FAIL,1,Young,SENS__J23_M17
SENS__J23_M3.txt,1.0,,Bovidae,0.3512980611238909,14862324.0,5126270.5,2.8992469281517628,2810.0,-0.004424632364051281,1.0634717147359611,69.59565850497583,14271252.0,FAIL,1,Young,SENS__J23_M3
SENS__J24_M11.txt,1.0,,Dipnotetrapodomorpha,0.33688393399194216,14655702.0,31964731.5,0.4584960145840737,7536.0,0.1734635753037011,1.0498647939944468,70.30723140296917,41944893.0,FAIL,1,Young,SENS__J24_M11
SENS__J24_M18.txt,1.0,,Bovidae,0.4842721287490856,12994653.0,9676748.9,1.3428738447475888,3241.0,0.03665659961957153,0.9982121511427074,70.31199047617879,20179489.0,FAIL,1,Young,SENS__J24_M18
SENS__J24_M4.txt,1.0,,Dipnotetrapodomorpha,0.5505591616485493,12409509.0,8106451.600000001,1.5308188603753583,6869.0,0.01948373075488597,0.9607097106497525,71.05404485553527,32075763.0,FAIL,1,Young,SENS__J24_M4
