filename,PQI,PNI,sample_id,Species_Display,Total_Ion_Count,Mean_Intensity,n_peaks,Mean_PPM_Error,Std_PPM_Error,Mean_Confidence,COL1A1_Corrected,COL1A2_Corrected,COL1A1_to_COL1A2_Ratio,COL3A1_Peaks,Ratio_QC,Fetal_Markers,Age_Category,Gelatin_Index,species,confidence,confidence_category,notes
67-149_L4,,,67-149_L4.txt,Sheep,16046307.0,2130.9836653386456,7530,0.011481445329868,1.094853483202645,68.85036047805012,11690673.0,6628618.100000001,1.7636666984933105,3941.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=28.7:1)
67-77_L12,1.0,,67-77_L12.txt,Sheep,23125325.0,2406.381373569199,9610,0.1629856125809211,1.0639590114981494,70.0157675654732,17328600.0,11759748.0,1.473551984277214,4792.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=21.8:1)
67-77_L2,1.0,,67-77_L2.txt,Sheep,20245487.0,3104.659868118387,6521,-0.1369829817818022,1.122443375993416,68.96205724254324,35246352.0,6185419.5,5.698296130116963,1235.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=72.3:1)
67-77_L22,,,67-77_L22.txt,Bovidae,5753506.0,5087.096374889478,1131,0.2832765611122275,1.075849547755278,71.74197646829332,3710424.0,101397.4,36.59289094197681,917.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
67-86_L13,1.0,,67-86_L13.txt,Sheep,36348164.0,2692.656048596192,13499,-0.016195658645803,0.8199728348786619,71.8245995410535,29429622.0,16519672.0,1.7814894872004725,6847.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=14.4:1)
67-86_L23,1.0,,67-86_L23.txt,Sheep,32125084.0,3132.931929003316,10254,-0.0580185265915154,0.9237943255763053,70.7506751696344,21859881.0,19841438.5,1.101728637265892,3348.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=40.5:1)
67-86_L3,1.0,,67-86_L3.txt,Sheep,20573659.0,1993.3784517004167,10321,0.1275031849898567,1.0837546494243624,70.00786048938315,11210004.0,11108386.9,1.0091477818440049,4700.0,REVIEW,1,Young/Fetal,,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=7.4:1)
EXB__IR3_I15,,0.0,EXB__IR3_I15.txt,Bovidae,595908.0,3024.9137055837564,197,-0.7447533116350415,1.4496333846887328,66.96770563493332,1661586.0,54659.8,30.39868422496972,0.0,REVIEW,0,Adult,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
EXB__IR3_I22,0.0,0.0,EXB__IR3_I22.txt,Bovidae,10121690.0,2211.4245138737165,4577,2.788092792718779,2.354823707832572,54.634291233846525,4300431.0,1939492.1,2.217297507940352,1984.0,REVIEW,1,Young/Fetal,0.0,Bovidae,0.5,Low,COL3A1 and hydroxylation patterns ambiguous; Diagnostic masses inconclusive - family level only
EXB__IR3_I8,,,EXB__IR3_I8.txt,Bovidae,4386935.0,1868.3709540034072,2348,0.16983861186572,0.799170141312863,71.22872115885198,4739940.0,1562988.7,3.0326130956672945,936.0,REVIEW,1,Young/Fetal,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
EXB__IR4_I16,,,EXB__IR4_I16.txt,Bovidae,16022.0,2288.8571428571427,7,-2.014215095718242,2.952968873366276,33.741688806788666,1422.0,19351.8,0.0734815366012464,1.0,REVIEW,0,Adult,,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only
