sample_id,species,confidence,confidence_category,notes,evidence_Cervus,evidence_Bos,evidence_Ovis,evidence_Capra
V75_H22.txt,Sheep/Goat,0.6,Low,"ɑ2 757 ambiguous: Ovis=0, Capra=0",0.9906792852357615,0.4906625282762946,0.4906625282762946,0.4906625282762946
V76_A12.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2.2:1),0.4862942543611276,0.4862942543611276,0.4862942543611276,0.4862942543611276
V76_A2.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2.2:1),0.9920443018653597,0.49203929258606466,0.49203929258606466,0.49203929258606466
V76_A22.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=3.4:1),0.49182353646846655,0.49182353646846655,0.49182353646846655,0.49182353646846655
V77_A13.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2.1:1),0.9901978502244342,0.49019496220478054,0.49019496220478054,0.49019496220478054
V77_A23.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=2.2:1),0.9899623049111215,0.4899547483533388,0.4899547483533388,0.4899547483533388
V77_A3.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9881547733624467,0.4881603420646573,0.4881603420646573,0.4881603420646573
V79_A14.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=13.7:1),0.991589201154722,0.4905089635458186,0.4905089635458186,0.4905089635458186
V79_A24.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=13.1:1),0.9871566232933326,0.4871613344375796,0.4871613344375796,0.4871613344375796
V79_A4.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=14.6:1),0.9879128813341183,0.4879002156417761,0.4879002156417761,0.4879002156417761
V7_C16.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=28.4:1),0.9903102599760454,0.49029296223736335,0.49029296223736335,0.49029296223736335
V7_E13.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=562.9:1),0.9902639646372327,0.4902550936012331,0.4902550936012331,0.4902550936012331
V7_E3.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=33.4:1),0.9906326827304632,0.4906239318716423,0.4906239318716423,0.4906239318716423
V80_H13.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=4.1:1),0.9910572317159922,0.4910580618042334,0.4910580618042334,0.4910580618042334
V80_H23.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=3.7:1),0.49456867777629654,0.49456867777629654,0.49456867777629654,0.49456867777629654
V80_H3.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=4.1:1),0.9879489014131435,0.4879476786089889,0.4879476786089889,0.4879476786089889
V81_H14.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=5.8:1),0.4924386998293383,0.4924386998293383,0.4924386998293383,0.4924386998293383
V81_H24.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=10.9:1),0.4858145772117758,0.4858145772117758,0.4858145772117758,0.4858145772117758
V81_H4.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=12.1:1),0.4835592204322344,0.4835592204322344,0.4835592204322344,0.4835592204322344
V82_J18.txt,Sheep/Goat,0.6,Low,"ɑ2 757 ambiguous: Ovis=47353, Capra=38481",0.49123004257362657,0.49123004257362657,0.49123004257362657,0.49123004257362657
V82_J8.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.992631221309717,0.4926222339650229,0.4926222339650229,0.4926222339650229
V82_K4.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9929564368717154,0.4929513142953619,0.4929513142953619,0.4929513142953619
V83_A15.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=7.7:1),0.49039060855947747,0.49039060855947747,0.49039060855947747,0.49039060855947747
V83_A5.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=3.2:1),0.992996291094894,0.4924515390556324,0.4924515390556324,0.4924515390556324
V83_C1.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=8.8:1),0.990642376412247,0.49061959527089494,0.49061959527089494,0.49061959527089494
V84_A16.txt,Sheep,0.8,High,ɑ1 586: Ovis/Capra dominant + ɑ2 757: Ovis (ratio=176.9:1),0.48066184176640603,0.48066184176640603,0.48066184176640603,0.48066184176640603
V84_A6.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.4811355699156443,0.4811355699156443,0.4811355699156443,0.4811355699156443
V84_C3.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.4704695798442513,0.4704695798442513,0.4704695798442513,0.4704695798442513
V87_J19.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=7.0:1),0.9735706930018782,0.4735673449842949,0.4735673449842949,0.4735673449842949
V87_J9.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=15.1:1),0.4799077449060428,0.4799077449060428,0.4799077449060428,0.4799077449060428
V87_K5.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=9.6:1),0.9898447770456476,0.4898464921484483,0.4898464921484483,0.4898464921484483
V88_H15.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9941985210888638,0.49419942118583554,0.49419942118583554,0.49419942118583554
V88_H5.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=3.3:1),0.9925553616538239,0.4925534836406827,0.4925534836406827,0.4925534836406827
V88_I1.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=3.8:1),0.9924338466880598,0.492438444027617,0.492438444027617,0.492438444027617
V89_A17.txt,Bovidae,0.4,Low,No COL3A1 or hydroxylation markers found; Diagnostic masses inconclusive - family level only,0.48353274135936186,0.48353274135936186,0.48353274135936186,0.48353274135936186
V89_A7.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=3.2:1),0.482219328080672,0.482219328080672,0.482219328080672,0.482219328080672
V89_C4.txt,Goat,0.85,High,ɑ2 757: Capra pattern dominant (ratio=6.5:1),0.9893095792096307,0.489302045744638,0.489302045744638,0.489302045744638
V90_H16.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9898564440762592,0.48985130954893713,0.48985130954893713,0.48985130954893713
V90_H6.txt,Sheep,0.9,High,ɑ1 586: Ovis/Capra + ɑ2 757: Ovis pattern (ratio=2.1:1),0.48731299428682995,0.48731299428682995,0.48731299428682995,0.48731299428682995
V90_I2.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9912779284140782,0.4912756227061657,0.4912756227061657,0.4912756227061657
V91_I10.txt,Sheep/Goat,0.6,Low,"ɑ2 757 ambiguous: Ovis=38250, Capra=52066",0.9846700911550708,0.4846720393126773,0.4846720393126773,0.4846720393126773
V91_I17.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.48625751520073457,0.48625751520073457,0.48625751520073457,0.48625751520073457
V91_I3.txt,Sheep/Goat,0.6,Low,"ɑ1 586: Ovis/Capra, ɑ2 757 ambiguous",0.9778870564314637,0.47786187139057484,0.47786187139057484,0.47786187139057484
